Temperature (K)	Magnetization (A-m^2/kg)	Magnetization Error (A-m^2/kg)
2.00016	5.0552	0.00195
2.99931	3.3798	7.75975E-4
4.00438	2.53162	0.00512
5.00047	2.02785	0.00165
6.00223	1.70163	0.00279
6.99922	1.45678	0.0021
7.99364	1.27138	0.00181
8.99807	1.12606	8.65241E-4
9.98644	1.01225	0.00107
10.98254	0.91982	2.53738E-4
11.99616	0.83482	2.35809E-4
12.99662	0.77076	2.4274E-4
14.00164	0.71525	1.0464E-4
14.99418	0.67022	0.00654
15.99886	0.62332	1.86446E-4
16.99746	0.58507	1.97098E-4
17.99233	0.5512	1.88061E-4
18.99787	0.52081	2.09349E-4
20.01094	0.49303	2.12005E-4
19.99908	0.49335	1.20172E-4
24.99911	0.38937	3.85282E-5
30.00412	0.32037	1.05167E-4
35.00882	0.2715	9.96478E-5
40.00694	0.23517	7.98423E-5
45.00961	0.20721	9.28993E-5
50.0181	0.18518	7.63929E-5
55.01818	0.16705	3.88666E-5
60.03575	0.15225	5.12553E-5
65.04111	0.13986	4.55163E-5
70.04974	0.12926	7.31538E-5
75.06004	0.12025	1.04785E-4
80.05362	0.11237	1.14624E-4
85.06471	0.10546	1.3493E-4
90.06864	0.09944	1.84094E-4
95.07444	0.09403	1.87731E-4
100.03908	0.08894	8.65954E-5
105.07595	0.08466	1.4101E-4
110.0904	0.08083	1.68048E-4
115.09032	0.07707	1.55237E-4
120.09947	0.0737	1.39977E-4
125.10037	0.06982	0.0017
130.10762	0.06793	1.56096E-4
135.08992	0.06526	1.23937E-4
140.09753	0.06287	1.4504E-4
145.0956	0.06067	9.28389E-5
150.0955	0.05854	1.18987E-4
155.10383	0.05658	1.00226E-4
160.11317	0.05485	1.19024E-4
165.10685	0.05311	1.10858E-4
170.11027	0.05146	1.04654E-4
175.11553	0.0499	1.13924E-4
180.10973	0.04856	1.00685E-4
185.10157	0.04711	7.72501E-5
190.11425	0.04585	7.97491E-5
195.10717	0.04467	1.07439E-4
200.1085	0.04352	7.82922E-5
205.04593	0.04235	5.65358E-5
210.11275	0.04134	6.09757E-5
215.1031	0.04033	5.24263E-5
220.09537	0.03938	5.92068E-5
225.1084	0.0385	4.49825E-5
230.09423	0.03761	4.83101E-5
235.10412	0.03674	4.76825E-5
240.10462	0.03595	3.67493E-5
245.10343	0.03518	3.48843E-5
250.09747	0.03444	2.428E-5
255.0973	0.03376	1.83858E-5
260.10558	0.0331	2.41113E-5
265.09967	0.03245	2.44266E-5
270.08963	0.03182	2.08517E-5
275.09325	0.03106	3.20753E-4
280.08845	0.03065	1.98037E-5
285.08788	0.03007	6.15916E-5
290.08683	0.02977	2.11746E-5
295.08832	0.02906	1.52114E-5
300.07703	0.02855	9.78365E-6
